poiId,poiName,budget
cmod13qu7000034i4kkikiy1j,KIN Coffee,2
cmod13rjk000234i4c8qz95xl,The Oriental Legazpi,4
cmod13s8o000434i4gwawempw,Mayon Black Lava Zipline Adventure,3
cmod13sxo000634i4nbs3ojbu,"Risen Christ Statue, Banquerohan",2
cmod13tme000834i41j1gfz7q,NEUHAUS INN,3
cmod13ub6000a34i41kjxja3d,Assemblr Cafe,2
cmod13v00000c34i46d9ev904,Kapuntukan Resto Bar and Grille,2
cmod13voo000e34i464iyt25v,Legazpi City People's Park,1
cmod13wdg000g34i49wsip93n,Pacific Mall,2
cmod13x26000i34i48qk4mbf0,Small Talk Café,2
cmod13xqw000k34i46ar0x782,Secret Shop Rawis,2
cmod13yfo000m34i4wf8w2u15,Our Mother of Perpetual Help Shrine,1
cmod13z4c000o34i4ldw32gmb,Legazpi City Skate Park,1
cmod13zt2000q34i4tsspuqsj,Bantong Monument (Ibalong Epic Hero),1
cmod140hu000s34i4vxqtl3nv,Handyong Monument (Ibalong Epic Hero),1
cmod1416i000u34i4erg820u3,Chef Lee,3
cmod141vd000w34i4yu0rqgfy,Miña's Mayon View Resort,2
cmod142k1000y34i4hnnbsu7k,Cesar's,2
cmod1438v001034i4bulehzxn,Kapihan,2
cmod143xm001234i4qt62fn28,Black Lava Trail & Helipad,3
cmod144md001434i4x6nrfw6r,Coffee Spot Legazpi,2
cmod145b5001634i439yccb28,SM City Legazpi,2
cmod145zu001834i4he894o7n,Primos Pares Legazpi,1
cmod147de001c34i49wtqvwf1,Hap Chan - Legazpi,2
cmod14823001e34i4joat4cvt,Kabana Cafe,2
cmod148qw001g34i4xytz8gzy,Marison Hotel,4
cmod149fp001i34i44kpx675z,Hotel Areca,4
cmod14a4q001k34i406i9vatr,Albay Park and Wild Life,1
cmod14atc001m34i4dfqvc8kn,Ligñon Hill,1
